Sno,Date,startTime,endTime,Time,Category,Description
1,02-06-22,6:00 PM,8:00 PM,2:00,Literature survey,"1. revisited resources from optimization course
2. remote sensing paper notes
3. neptune ai, nanonets blog posts - 50% done
4. initial commit for repo"
2,03-06-22,3:00 PM,4:45 PM,1:45,Literature survey,"1. image segmentation paper notes
2. updated references in readme file"
3,05-06-22,2:15 PM,3:15 PM,1:00,Literature survey,image segmentation course review
4,06-06-22,6:30 AM,7:30 AM,1:00,Literature survey,image segmentation architecture section completed
5,07-06-22,4:50 AM,6:05 AM,1:15,Literature survey,image segmentation course project section completed
6,09-06-22,7:30 AM,8:00 AM,0:30,Code setup,conda env setup with torch pkg installation
7,11-06-22,4:30 PM,5:15 PM,0:45,Literature survey,"types of convolutions,  transposed convolutions"
8,11-06-22,9:30 PM,10:00 PM,0:30,Code,FCN_resnet50 code review
9,12-06-22,4:30 AM,6:15 AM,1:45,PPT,"FCNHead explanation, paper review done, ppt initial commit"
10,12-06-22,10:30 AM,11:15 AM,0:45,Code,Upsampling notebook
,,,,,,
,,,,,,
,,Total Hours,,11:15,,
